idx,variant,dataset_name,question_id,question,gold_answer,pred_answer,raw_output,has_answer_tag
48,standard,tgqa_split_train,story440_Q0_0,"Which event started first, (Liam Donovan died in Lancaster) or (Emily Johnson (singer) died in Lancaster)?",Liam Donovan died in Lancaster,,Liam Donovan died in Lancaster,False
49,standard,tgqa_split_train,story328_Q2_0,How long did the event (Michael Thompson played for BC Lightning (Houston)) last?,6,6 years,<answer> 6 years </answer>,True
50,standard,tgqa_split_train,story4_Q1_2,"Given the following five events: (Molly Adams was born in Seattle), (Liam Thomas Dawson won prize Oakley Smith Prize), (Liam Thomas Dawson was born in Seattle), (Liam Thomas Dawson died in Kingsville, Texas), (Liam Thomas Dawson was married to Molly Adams). Which event is the fourth one in chronological order?",Liam Thomas Dawson won prize Oakley Smith Prize,Liam Thomas Dawson won prize Oakley Smith Prize,<answer> Liam Thomas Dawson won prize Oakley Smith Prize </answer>,True
51,standard,tgqa_split_train,story383_Q5_0,"True or false: event (Jonathan Williams (actor) was born in Riverside, California) and event (Jonathan Williams (actor) died in Oceanview) started at the same year?",False,false,<answer> false </answer>,True
52,standard,tgqa_split_train,story151_Q1_2,"Given the following five events: (Liam Mitchell died in Boston), (Liam Mitchell was married to Maddox Reynolds), (Liam Mitchell was born in Harrison), (Maddox Reynolds was married to Liam Mitchell), (Emma Scott was married to Liam Mitchell). Which event is the first one in chronological order?",Liam Mitchell was born in Harrison,Liam Mitchell was born in Harrison,<answer> Liam Mitchell was born in Harrison </answer>,True
53,standard,tgqa_split_train,story2_Q1_1,"Given the following five events: (Noah Daniels was born in Oceanview), (Noah Daniels won prize Golden Summit), (Noah Daniels won prize Riverdale Scholarship), (Noah Daniels won prize Thomas Morris Prize in Algebra), (Noah Daniels won prize Bluegrass Championship). Which event is the fifth one in chronological order?",Noah Daniels won prize Bluegrass Championship,Noah Daniels won prize Bluegrass Championship,<answer> Noah Daniels won prize Bluegrass Championship </answer>,True
54,standard,tgqa_split_train,story180_Q4_0,When did the event (Charlie Jenkins played for Brentwood United F.C.) start?,2002,2002,<answer> 2002 </answer>,True
55,standard,tgqa_split_train,story69_Q2_0,How long did the event (Nathan Patel was married to Ava Thompson) last?,15,15 years,<answer> 15 years </answer>,True
56,standard,tgqa_split_train,story308_Q8_0,True or false: event (Sophie Mitchell was married to Oliver Wright) was longer in duration than event (Oliver Wright was married to Sophie Mitchell)?,False,,false,False
57,standard,tgqa_split_train,story274_Q7_0,What happened right after the event (Jack Johnson was born in Denver) starts?,Jack Johnson won prize Whitehall Award,Jack Johnson won prize Whitehall Award,<answer> Jack Johnson won prize Whitehall Award </answer>,True
58,standard,tgqa_split_train,story53_Q1_2,"Given the following five events: (Maxwell Collins played for Arizona City national under-18 football team), (Maxwell Collins played for Liverpool national under-20 football team), (Maxwell Collins was born in Manchester), (Maxwell Collins played for The Boston Tigers), (Maxwell Collins played for Ocean City FC). Which event is the fourth one in chronological order?",Maxwell Collins played for Liverpool national under-20 football team,Maxwell Collins played for The Boston Tigers,<answer> Maxwell Collins played for The Boston Tigers </answer>,True
59,standard,tgqa_split_train,story48_Q1_1,"Given the following five events: (Luke Anderson (architect) won prize Yorkshire Trophy), (Luke Anderson (architect) won prize Emma Sullivan Excellence Award), (Luke Anderson (architect) won prize Samuel Johnson Award), (Luke Anderson (architect) won prize Greenwood Academy United Award), (Luke Anderson (architect) won prize Carter Prize). Which event is the third one in chronological order?",Luke Anderson (architect) won prize Yorkshire Trophy,Luke Anderson (architect) won prize Samuel Johnson Award,<answer> Luke Anderson (architect) won prize Samuel Johnson Award </answer>,True
60,standard,tgqa_split_train,story444_Q1_0,"Given the following five events: (Sophia Johnson died in Oceanview), (Ryan Mitchell was married to Sophia Johnson), (Ryan Mitchell was born in Fairfield, California), (Ryan Mitchell died in Willowdale), (Sophia Johnson was married to Ryan Mitchell). Which event is the first one in chronological order?","Ryan Mitchell was born in Fairfield,California","Ryan Mitchell was born in Fairfield, California","<answer> Ryan Mitchell was born in Fairfield, California </answer>",True
61,standard,tgqa_split_train,story400_Q5_0,True or false: event (Grace Thompson was married to Charlie Thompson) and event (Grace Thompson was married to Luke Thompson) started at the same year?,False,false,<answer> false </answer>,True
62,standard,tgqa_split_train,story381_Q6_0,True or false: event (Alex Reynolds was married to Sophia Johnson) was still happening when event (Alex Reynolds died in Oceanview) started?,False,false,<answer> false </answer>,True
63,standard,tgqa_split_train,story7_Q1_2,"Given the following five events: (Emily Dickinson died in Atlanta), (Harry Stevens died in Atlanta), (Emily Dickinson was born in Wanderers), (Harry Stevens was married to Emily Dickinson), (Emily Dickinson was married to Harry Stevens). Which event is the second one in chronological order?",Harry Stevens was married to Emily Dickinson,(Emily Dickinson was born in Wanderers),<answer> (Emily Dickinson was born in Wanderers) </answer>,True
64,standard,tgqa_split_train,story122_Q4_0,When did the event (Robert Johnson was married to Eleanor Wright) start?,1979,1979,<answer> 1979 </answer>,True
65,standard,tgqa_split_train,story256_Q1_4,"Given the following five events: (ABC Corporation created Tampa Bay OpenSource), (ABC Corporation created RocketPad), (ABC Corporation created ValleyTech), (ABC Corporation created Lakeside United), (Oliver Dawson won prize Davidson Astronomical Award). Which event is the fourth one in chronological order?",ABC Corporation created Lakeside United,ABC Corporation created RaptorBook L Line,<answer> ABC Corporation created RaptorBook L Line </answer>,True
66,standard,tgqa_split_train,story271_Q5_0,True or false: event (Amy Thompson was born in Harrison) and event (Amy Thompson was married to Charlie Reynolds) started at the same year?,False,false,<answer> false </answer>,True
67,standard,tgqa_split_train,story380_Q3_0,How much time passed between the start of event (Noah Turner was married to Abigail Hopkins) and the start of event (Abigail Hopkins was married to Noah Turner)?,0,4 years,<answer> 4 years </answer>,True
68,standard,tgqa_split_train,story413_Q5_0,True or false: event (Dave Thompson created Fast Lane 3) and event (Dave Thompson created Eagles (film)) started at the same year?,False,false,<answer> false </answer>,True
69,standard,tgqa_split_train,story192_Q1_3,"Given the following five events: (Samuel Johnson was married to Oliver Armstrong), (Oliver Armstrong died in Kingsley, Alaska), (Samuel Johnson was born in Dallas), (Oliver Armstrong was born in San Francisco), (Samuel Johnson died in Willowdale). Which event is the third one in chronological order?",Samuel Johnson was married to Oliver Armstrong,(Samuel Johnson was married to Oliver Armstrong),<answer> (Samuel Johnson was married to Oliver Armstrong) </answer>,True
70,standard,tgqa_split_train,story134_Q7_0,What happened right before the event (Nathan Reed played for Los Angeles Lakers) starts?,Nathan Reed played for Phoenix United,,Nathan Reed played for Chicago Bulls ends at 2010.,False
71,standard,tgqa_split_train,story267_Q1_4,"Given the following five events: (Maxwell Dixon played for Lionbridge Tigers F.C.), (Maxwell Dixon played for T. B. Rangers), (Maxwell Dixon played for Atlanta Kings), (Maxwell Dixon played for Manchester city under-21 football team), (Maxwell Dixon played for Houston Thunderstorms). Which event is the fifth one in chronological order?",Maxwell Dixon played for T. B. Rangers,Maxwell Dixon played for T. B. Rangers,<answer> Maxwell Dixon played for T. B. Rangers </answer>,True
72,standard,tgqa_split_train,story239_Q2_0,How long did the event (Daniel Jackson Prescott played for Lancaster United soccer club) last?,1,1 year,<answer> 1 year </answer>,True
73,standard,tgqa_split_train,story77_Q5_0,True or false: event (Maxwell Johnson won prize Diamond Peak) and event (Maxwell Johnson won prize Victory Award in Biological Studies) started at the same year?,False,false,<answer> false </answer>,True
74,standard,tgqa_split_train,story316_Q2_0,How long did the event (Jack Mitchell (footballer) played for Everton Rovers) last?,4,4 years,<answer> 4 years </answer>,True
75,standard,tgqa_split_train,story385_Q1_0,"Given the following five events: (Jake Anderson was married to Emily Walters), (Jake Anderson was married to Elijah Marshall), (Emily Walters was married to Jake Anderson), (Liam Thompson was married to Elijah Marshall), (Liam Thompson died in Brookville Heights, Boston). Which event is the first one in chronological order?",Jake Anderson was married to Elijah Marshall,(Liam Thompson was born in San Francisco) starts at 1907.,<answer> (Liam Thompson was born in San Francisco) starts at 1907. </answer>,True
76,standard,tgqa_split_train,story294_Q4_0,When did the event (Isaac Thompson was born in Denver) start?,1929,1929,<answer> 1929 </answer>,True
77,standard,tgqa_split_train,story103_Q7_0,What happened right after the event (Sophie Anderson was married to Noah Thompson) ends?,Noah Thompson died in Palm Springs,Noah Thompson died in Palm Springs,<answer> Noah Thompson died in Palm Springs </answer>,True
78,standard,tgqa_split_train,story47_Q3_0,How much time passed between the start of event (Oliver Parker was born in Springfield) and the start of event (Liam Harrison was married to Oliver Parker)?,32,32,<answer> 32 </answer>,True
79,standard,tgqa_split_train,story234_Q1_0,"Given the following five events: (John Evans was married to Sophie Anderson), (Sophie Anderson was born in Palm Springs), (John Evans was born in Albion, Massachusetts), (John Evans was married to Oliver Evans), (Sophie Anderson was married to John Evans). Which event is the second one in chronological order?",Sophie Anderson was born in Palm Springs,(Sophie Anderson was born in Palm Springs),<answer> (Sophie Anderson was born in Palm Springs) </answer>,True
80,standard,tgqa_split_train,story418_Q5_0,"True or false: event (Oliver Harrison died in Astonville, Alabama) and event (Ethan Blackwell was married to Oliver Harrison) started at the same year?",False,,false,False
81,standard,tgqa_split_train,story62_Q7_0,What happened right before the event (Liam Parker was born in Oceanview) starts?,Emma J. Reed was born in San Francisco,Liam Parker was born in Oceanview,<answer> Liam Parker was born in Oceanview </answer>,True
82,standard,tgqa_split_train,story137_Q1_1,"Given the following five events: (Charlie Thompson was married to Grace Thompson), (Luke Thompson was married to Grace Thompson), (Grace Thompson was married to Luke Thompson), (Charlie Thompson was born in Whiteville, North Carolina), (Luke Thompson was born in Greenwood). Which event is the first one in chronological order?",Luke Thompson was born in Greenwood,"Charlie Thompson was born in Whiteville, North Carolina","<answer> Charlie Thompson was born in Whiteville, North Carolina </answer>",True
83,standard,tgqa_split_train,story65_Q5_0,True or false: event (Noah Thompson played for Manchester United) and event (Noah Thompson played for Highland United B) started at the same year?,False,false,<answer> false </answer>,True
84,standard,tgqa_split_train,story376_Q2_0,How long did the event (Jasper Adams played for Crimson Peak Warriors) last?,1,1 year,<answer> 1 year </answer>,True
85,standard,tgqa_split_train,story19_Q1_2,"Given the following five events: (Noah Henderson played for Golden Valley United), (Noah Henderson played for Golden Eagles United), (Noah Henderson was born in Seattle), (Noah Henderson played for Golden Lions Club (Denver)), (Noah Henderson played for Rapid City Raiders). Which event is the fifth one in chronological order?",Noah Henderson played for Golden Eagles United,Noah Henderson played for Golden Eagles United,<answer> Noah Henderson played for Golden Eagles United </answer>,True
86,standard,tgqa_split_train,story85_Q1_1,"Given the following five events: (Oliver Dawson created Benjamin (film)), (Jake Lawson was married to Oliver Dawson), (Jake Lawson was born in Dallas), (Oliver Dawson was married to Jake Lawson), (Oliver Dawson was born in Yorkshire). Which event is the fifth one in chronological order?",Oliver Dawson created Benjamin (film),Oliver Dawson was born in Yorkshire,<answer> Oliver Dawson was born in Yorkshire </answer>,True
87,standard,tgqa_split_train,story116_Q7_1,What happened right after the event (Liam Anderson won prize Crystal Lake Trophy) starts?,Liam Anderson died in Rockville Springs,Liam Anderson won prize Golden Star Medal,<answer> Liam Anderson won prize Golden Star Medal </answer>,True
88,standard,tgqa_split_train,story450_Q4_0,When did the event (Alex Scott played for Olympic City) start?,2007,2007,<answer> 2007 </answer>,True
89,standard,tgqa_split_train,story309_Q6_0,True or false: event (Samuel Lewis played for Ocean City Athletic Club) was still happening when event (Samuel Lewis played for Riverdale United) started?,True,false,<answer> false </answer>,True
90,standard,tgqa_split_train,story160_Q7_1,What happened right before the event (Michael Reynolds won prize Thompson Award) starts?,Michael Reynolds won prize Rocking Star Club,Michael Reynolds won prize Taylor Jones Prize for Scientific Research,<answer> Michael Reynolds won prize Taylor Jones Prize for Scientific Research </answer>,True
91,standard,tgqa_split_train,story36_Q1_4,"Given the following five events: (Lucy Anderson was born in Raleigh), (Charlie Reed was born in Chesterton), (Charlie Reed was married to Lucy Anderson), (Lucy Anderson was married to Charlie Reed), (Charlie Reed died in Chesterton). Which event is the third one in chronological order?",Charlie Reed was married to Lucy Anderson,(Charlie Reed was married to Lucy Anderson),<answer> (Charlie Reed was married to Lucy Anderson) </answer>,True
92,standard,tgqa_split_train,story387_Q7_0,What happened right after the event (Maxwell Evans (quarterback) was born in Ashton (city)) starts?,Maxwell Evans (quarterback) played for Newton United F.C.,Maxwell Evans (quarterback) played for Hillside United F.C.,<answer> Maxwell Evans (quarterback) played for Hillside United F.C. </answer>,True
93,standard,tgqa_split_train,story163_Q1_0,"Given the following five events: (Luke Anderson played for Chicago Bulls), (Luke Anderson played for Wolverhampton United F.C.), (Luke Anderson played for Los Angeles Lakers), (Luke Anderson played for R.N. Oakdale), (Luke Anderson played for Seattle Sounders). Which event is the second one in chronological order?",Luke Anderson played for Wolverhampton United F.C.,Luke Anderson played for Wolverhampton United F.C.,<answer> Luke Anderson played for Wolverhampton United F.C. </answer>,True
94,standard,tgqa_split_train,story126_Q1_4,"Given the following five events: (Harper was married to John Harrison), (Julia Bennett was born in Baymont, Oregon), (John Harrison was born in Greenwood), (Harper was born in Falcon Springs), (John Harrison was married to Julia Bennett). Which event is the second one in chronological order?","Julia Bennett was born in Baymont,Oregon",(John Harrison was born in Greenwood),<answer> (John Harrison was born in Greenwood) </answer>,True
95,standard,tgqa_split_train,story225_Q5_0,True or false: event (Liam Turner won prize Devon Award) and event (Liam Turner was born in Atlanta) started at the same year?,False,false,<answer> false </answer>,True
96,standard,tgqa_split_train,story311_Q1_4,"Given the following five events: (Eleanor Johnson was married to Daniel Scott Nelson), (Daniel Scott Nelson was married to Eleanor Johnson), (Daniel Scott Nelson was born in Oceanview), (Daniel Scott Nelson was married to Emma Thompson), (Eleanor Johnson was born in Harrison). Which event is the fifth one in chronological order?",Daniel Scott Nelson was married to Emma Thompson,(Eleanor Johnson was born in Harrison),<answer> (Eleanor Johnson was born in Harrison) </answer>,True
97,standard,tgqa_split_train,story463_Q4_0,When did the event (Emily Watson won prize Crabtree Award) start?,2006,2006,<answer> 2006 </answer>,True
98,standard,tgqa_split_train,story454_Q8_0,True or false: event (Jason Mitchell played for Chicago Bulls) was longer in duration than event (Jason Mitchell played for Blackburn Rovers F.C.)?,True,,false,False
99,standard,tgqa_split_train,story219_Q3_0,"How much time passed between the start of event (Olivia Hayes was born in Hartford, Connecticut) and the start of event (Jake Thompson (actor) was born in Pacific City)?",1,1 year,<answer> 1 year </answer>,True
